School_Name,Suburb,School_Sector,Total_Enrolments,Girls_Enrolments,Boys_Enrolments
Abbotsford Public School,Abbotsford,Government,567,286,281
Knox Grammar School,Wahroonga,Independent,3030,77,2953
Moriah College,Bondi Junction,Independent,1449,706,743
Tangara School for Girls,Cherrybrook,Independent,616,560,56
Alexandria Park Community School,Alexandria,Government,882,375,507
All Hallows Catholic Primary School,Five Dock,Catholic,457,261,196
Allambie Heights Public School,Allambie Heights,Government,555,247,308
Annandale North Public School,Annandale,Government,402,206,196
Annandale Public School,Annandale,Government,402,180,222
Artarmon Public School,Artarmon,Government,1248,583,665
Asquith Public School,Asquith,Government,452,219,233
Avalon Public School,Avalon Beach,Government,914,461,453
Balgowlah Heights Public School,Balgowlah,Government,711,363,348
Balgowlah North Public School,North Balgowlah,Government,568,265,303
Balmain Public School,Balmain,Government,379,189,190
Banksmeadow Public School,Botany,Government,312,140,172
Beacon Hill Public School,Beacon Hill,Government,533,255,278
Beaumont Road Public School,Killara,Government,408,199,209
Beauty Point Public School,Mosman,Government,304,156,148
Beecroft Public School,Beecroft,Government,890,469,421
Reddam House,Woollahra,Independent,1223,555,668
Bellevue Hill Public School,Bellevue Hill,Government,566,284,282
Belrose Public School,Belrose,Government,267,133,134
Birchgrove Public School,Balmain,Government,371,191,180
Bondi Beach Public School,Bondi Beach,Government,618,276,342
Botany Public School,Botany,Government,289,137,152
Bronte Public School,Bronte,Government,388,182,206
Camdenville Public School,Newtown,Government,344,166,178
Clovelly Public School,Waverley,Government,599,313,286
Berowra Public School,Berowra,Government,419,186,233
Coogee Public School,Coogee,Government,615,308,307
Darlington Public School,Chippendale,Government,206,98,108
Double Bay Public School,Double Bay,Government,341,189,152
Drummoyne Public School,Drummoyne,Government,620,326,294
Five Dock Public School,Five Dock,Government,392,196,196
Forest Lodge Public School,Forest Lodge,Government,340,160,180
Fort Street Public School,Sydney,Government,215,97,118
Glenmore Road Public School,Paddington,Government,364,192,172
Haberfield Public School,Haberfield,Government,670,338,332
Kegworth Public School,Leichhardt,Government,343,166,177
Bilgola Plateau Public School,Bilgola Plateau,Government,532,274,258
Kensington Public School,Kensington,Government,453,225,228
Malabar Public School,Malabar,Government,298,152,146
Maroubra Bay Public School,Maroubra,Government,371,171,200
Mascot Public School,Mascot,Government,367,170,197
Matraville Public School,Matraville,Government,229,100,129
Newtown North Public School,Newtown,Government,258,126,132
Nicholson Street Public School,Balmain East,Government,168,79,89
Orange Grove Public School,Leichhardt,Government,496,243,253
Rainbow Street Public School,Randwick,Government,390,180,210
Rose Bay Public School,Rose Bay,Government,587,300,287
St Peters Public School,St Peters,Government,124,57,67
Ultimo Public School,Ultimo,Government,314,164,150
Vaucluse Public School,Vaucluse,Government,363,172,191
South Coogee Public School,South Coogee,Government,548,290,258
Dobroyd Point Public School,Haberfield,Government,227,110,117
Pagewood Public School,Botany,Government,313,154,159
Crown Street Public School,Surry Hills,Government,292,146,146
Tempe Public School,Tempe,Government,322,166,156
Bondi Public School,Bondi,Government,596,294,302
Waverley Public School,Waverley,Government,330,158,172
Matraville Soldiers Settlement Public School,Matraville,Government,242,128,114
Erskineville Public School,Erskineville,Government,401,200,201
Boronia Park Public School,Hunters Hill,Government,541,275,266
Randwick Public School,Randwick,Government,958,484,474
Bourke Street Public School,Surry Hills,Government,436,209,227
Chifley Public School,Malabar,Government,166,86,80
Lewisham Public School,Lewisham,Government,217,125,92
Petersham Public School,Petersham,Government,267,117,150
Eastlakes Public School,Eastlakes,Government,197,96,101
Sydney Distance Education Primary School,Surry Hills,Government,177,80,97
Brooklyn Public School,Brooklyn,Government,75,35,40
Brookvale Public School,Brookvale,Government,341,176,165
Daceyville Public School,Daceyville,Government,269,140,129
Darlinghurst Public School,Potts Point,Government,322,167,155
Gardeners Road Public School,Rosebery,Government,358,184,174
Glebe Public School,Glebe,Government,309,150,159
Leichhardt Public School,Leichhardt,Government,736,371,365
Maroubra Junction Public School,Maroubra,Government,619,295,324
Newtown Public School,Newtown,Government,417,205,212
Paddington Public School,Paddington,Government,291,146,145
Rozelle Public School,Rozelle,Government,632,307,325
Stanmore Public School,Stanmore,Government,636,313,323
Woollahra Public School,Woollahra,Government,767,363,404
Cammeray Public School,Cammeray,Government,888,454,434
Carlingford Public School,Carlingford,Government,784,383,401
Carlingford West Public School,Carlingford,Government,1528,730,798
Seaforth Public School,Seaforth,Government,520,248,272
Cowan Public School,Cowan,Government,43,18,25
Dee Why Public School,Dee Why,Government,490,221,269
Epping Public School,Epping,Government,631,319,312
Epping West Public School,Epping,Government,1290,621,669
Castle Cove Public School,Castle Cove,Government,442,218,224
Ermington Public School,West Ryde,Government,402,181,221
Frenchs Forest Public School,Frenchs Forest,Government,261,133,128
Gladesville Public School,Gladesville,Government,537,258,279
Greenwich Public School,Greenwich,Government,487,248,239
Harbord Public School,Freshwater,Government,1109,550,559
Hunters Hill Public School,Hunters Hill,Government,369,175,194
Lane Cove Public School,Lane Cove,Government,867,437,430
Lindfield Public School,Lindfield,Government,822,400,422
Lindfield East Public School,East Lindfield,Government,674,310,364
Manly West Public School,Balgowlah,Government,871,429,442
Middle Harbour Public School,Mosman,Government,609,308,301
Mona Vale Public School,Mona Vale,Government,1131,517,614
Narrabeen Lakes Public School,Narrabeen,Government,418,191,227
Neutral Bay Public School,Neutral Bay,Government,959,471,488
Newport Public School,Newport,Government,775,394,381
Normanhurst Public School,Normanhurst,Government,417,198,219
Northbridge Public School,Northbridge,Government,519,274,245
Chatswood Public School,Chatswood,Government,1315,629,686
North Sydney Public School,Waverton,Government,887,456,431
Pennant Hills Public School,Pennant Hills,Government,565,282,283
Cherrybrook Public School,Cherrybrook,Government,903,420,483
West Pennant Hills Public School,West Pennant Hills,Government,638,291,347
Putney Public School,Ryde,Government,484,236,248
Roseville Public School,Roseville,Government,638,318,320
Ryde Public School,Ryde,Government,602,276,326
North Ryde Public School,North Ryde,Government,420,211,209
West Ryde Public School,West Ryde,Government,691,329,362
Terrey Hills Public School,Terrey Hills,Government,236,107,129
Turramurra North Public School,North Turramurra,Government,258,129,129
Waitara Public School,Wahroonga,Government,978,522,456
Warrawee Public School,Turramurra,Government,687,318,369
Willoughby Public School,Willoughby,Government,1047,539,508
Pymble Public School,Pymble,Government,643,325,318
Narraweena Public School,Narraweena,Government,506,258,248
Wahroonga Public School,Wahroonga,Government,696,330,366
Melrose Park Public School,West Ryde,Government,208,119,89
Turramurra Public School,Turramurra,Government,570,274,296
Denistone East Public School,Eastwood,Government,777,369,408
Meadowbank Public School,Ryde,Government,486,236,250
Mount Colah Public School,Mount Colah,Government,467,229,238
Narrabeen North Public School,North Narrabeen,Government,725,329,396
Lane Cove West Public School,Lane Cove,Government,613,284,329
Killara Public School,Killara,Government,432,206,226
Curl Curl North Public School,North Curl Curl,Government,833,396,437
Gordon West Public School,Pymble,Government,582,290,292
Manly Village Public School,Manly,Government,704,344,360
Collaroy Plateau Public School,Collaroy Plateau,Government,619,317,302
Gordon East Public School,Gordon,Government,314,137,177
Mowbray Public School,Lane Cove,Government,636,320,316
Forestville Public School,Forestville,Government,681,310,371
Manly Vale Public School,Manly Vale,Government,521,254,267
Epping Heights Public School,Epping,Government,551,270,281
Eastwood Heights Public School,Eastwood,Government,523,250,273
Mount Kuring-gai Public School,Mount Kuring-Gai,Government,180,95,85
Kent Road Public School,Eastwood,Government,790,403,387
Truscott Street Public School,North Ryde,Government,324,165,159
Epping North Public School,North Epping,Government,477,233,244
Elanora Heights Public School,Elanora Heights,Government,573,266,307
Cromer Public School,Cromer,Government,639,298,341
Wheeler Heights Public School,Collaroy Plateau,Government,478,231,247
Ryde East Public School,North Ryde,Government,552,260,292
Hornsby Heights Public School,Hornsby,Government,459,222,237
Normanhurst West Public School,Thornleigh,Government,519,243,276
Thornleigh West Public School,Thornleigh,Government,618,287,331
West Pymble Public School,West Pymble,Government,348,158,190
St Ives North Public School,St Ives,Government,929,471,458
Roselea Public School,Carlingford,Government,344,174,170
St Ives Public School,St Ives,Government,522,281,241
Hornsby North Public School,Hornsby,Government,949,472,477
Wakehurst Public School,Belrose,Government,360,165,195
Killarney Heights Public School,Killarney Heights,Government,678,341,337
St Ives Park Public School,St Ives,Government,176,89,87
Murray Farm Public School,Carlingford,Government,988,473,515
Mimosa Public School,Frenchs Forest,Government,534,286,248
Wideview Public School,Berowra Heights,Government,403,203,200
Kambora Public School,Davidson,Government,223,87,136
John Purchase Public School,Cherrybrook,Government,644,303,341
Hornsby South Public School,Hornsby,Government,658,329,329
Corpus Christi Catholic Primary School,St Ives,Catholic,166,83,83
Eastwood Public School,Eastwood,Government,907,440,467
Mosman Public School,Mosman,Government,668,325,343
Dundas Public School,Dundas,Government,379,173,206
Ermington West Public School,Ermington,Government,179,97,82
Galilee Catholic Primary School,Bondi Beach,Catholic,125,63,62
Newington Public School,Newington,Government,872,415,457
Holy Cross Catholic Primary School,Woollahra,Catholic,258,134,124
Holy Family Catholic Primary School,Lindfield,Catholic,219,112,107
Rydalmere Public School,Rydalmere,Government,145,60,85
Holy Spirit Catholic Primary School,North Ryde,Catholic,452,230,222
Oatlands Public School,Oatlands,Government,217,97,120
Telopea Public School,Telopea,Government,80,36,44
Rydalmere East Public School,Ermington,Government,200,87,113
Yates Avenue Public School,Dundas Valley,Government,128,47,81
Maria Regina Catholic Primary School,Avalon Beach,Catholic,123,63,60
McAuley Catholic Primary School,Rose Bay,Catholic,110,61,49
Our Lady Help of Christians Catholic Primary School,Epping,Catholic,114,58,56
Our Lady of Dolours Catholic Primary School,Chatswood,Catholic,314,153,161
Our Lady of Good Counsel Catholic Primary School,Forestville,Catholic,385,205,180
Our Lady of Perpetual Succour Catholic Primary School,West Pymble,Catholic,128,63,65
Our Lady of the Annunciation Catholic Primary School,Pagewood,Catholic,190,105,85
Our Lady of the Rosary Catholic Primary School,Waitara,Catholic,272,136,136
Our Lady of the Rosary Catholic Primary School,Kensington,Catholic,422,214,208
Prouille Catholic Primary School,Wahroonga,Catholic,203,98,105
Sacred Heart Catholic Primary School,Mosman,Catholic,394,206,188
Sacred Heart Catholic Primary School,Mona Vale,Catholic,357,186,171
Sacred Heart Catholic Primary School,Mona Vale,Catholic,357,186,171
St Agatha's Catholic Primary School,Pennant Hills,Catholic,292,157,135
St Andrew's Catholic Primary School,Malabar,Catholic,385,204,181
St Anthony's Catholic Primary School,Marsfield,Catholic,278,142,136
St Anthony's Catholic Primary School,Clovelly,Catholic,179,86,93
St Bernadette's Primary School,Dundas Valley,Catholic,179,87,92
St Bernadette's Primary School,Dundas Valley,Catholic,179,87,92
St Bernard's Catholic Primary School,Berowra Heights,Catholic,179,94,85
St Bernard's Catholic Primary School,Botany,Catholic,204,102,102
St Brendan's Catholic Primary School,Annandale,Catholic,176,88,88
St Brigid's Catholic Primary School,Coogee,Catholic,195,94,101
St Cecilia's Catholic Primary School,Balgowlah,Catholic,281,152,129
St Columba's Catholic Primary School,Leichhardt North,Catholic,174,94,80
St Fiacre's Catholic Primary School,Leichhardt,Catholic,131,64,67
St Francis of Assisi Regional Catholic Primary School,Paddington,Catholic,205,117,88
St Gerard's Catholic Primary School,Carlingford,Catholic,288,139,149
St James Catholic Primary School,Glebe,Catholic,175,88,87
St John the Apostle Catholic Primary School,Narraweena,Catholic,299,147,152
St John the Baptist Catholic Primary School,Freshwater,Catholic,246,135,111
St Joseph's Catholic Primary School,Narrabeen,Catholic,148,71,77
St Kevin's Catholic Primary School,Dee Why,Catholic,168,83,85
St Kevin's Catholic Primary School,Eastwood,Catholic,410,198,212
St Kieran's Catholic Primary School,Manly Vale,Catholic,296,140,156
St Margaret Mary's Catholic Primary School,Randwick North,Catholic,174,88,86
St Martin's Catholic Primary School,Davidson,Catholic,81,34,47
St Mary's Catholic Primary School,Manly,Catholic,293,160,133
St Mary's Primary School,Rydalmere,Catholic,358,173,185
St Michael's Catholic Primary School,Daceyville,Catholic,314,152,162
St Michael's Catholic Primary School,Meadowbank,Catholic,354,174,180
St Michael's Catholic Primary School,Stanmore,Catholic,132,71,61
St Patrick's Catholic Primary School,Asquith,Catholic,283,131,152
St Philip Neri Catholic Primary School,Northbridge,Catholic,147,76,71
St Pius' Catholic Primary School,Enmore,Catholic,139,72,67
St Rose Catholic Primary School,Collaroy Plateau,Catholic,205,96,109
St Therese Catholic Primary School,Mascot,Catholic,609,306,303
St Thomas' Catholic Primary School,Willoughby,Catholic,357,182,175
Villa Maria Catholic Primary School,Hunters Hill,Catholic,401,211,190
Sacred Heart Catholic Primary School,Pymble,Catholic,293,157,136
St Mary's Cathedral College,Sydney,Catholic,781,0,781
Our Lady of Mount Carmel Catholic Primary School,Waterloo,Catholic,81,36,45
Loreto Kirribilli,Kirribilli,Independent,1104,1104,0
Kincoppal - Rose Bay School of the Sacred Heart,Rose Bay,Independent,911,879,32
Covenant Christian School,Belrose,Independent,909,447,462
Mount Sinai College,Maroubra,Independent,274,124,150
Abbotsleigh,Wahroonga,Independent,1459,1459,0
The Scots College,Bellevue Hill,Independent,1967,0,1967
Kesser Torah College,Dover Heights,Independent,335,178,157
St Andrew's Cathedral School,Sydney,Independent,1313,498,815
Pymble Ladies' College,Pymble,Independent,2273,2273,0
Northside Montessori School,Pymble,Independent,88,36,52
Masada College,St Ives,Independent,479,186,293
Roseville College,Roseville,Independent,973,973,0
Wenona School,North Sydney,Independent,1138,1138,0
Claremont College,Randwick,Independent,377,196,181
Northcross Christian School,Ryde,Independent,357,176,181
Italian Bilingual School,Meadowbank,Independent,90,49,41
Kambala,Rose Bay,Independent,972,972,0
International Grammar School,Ultimo,Independent,1186,544,642
Ravenswood School for Girls,Gordon,Independent,1268,1268,0
Ascham School,Edgecliff,Independent,1181,1181,0
Emanuel School,Randwick,Independent,829,400,429
Arden Anglican School,Beecroft,Independent,859,377,482
John Colet School,Belrose,Independent,228,111,117
Inner Sydney Montessori School,Balmain,Independent,185,87,98
St Catherine's School,Waverley,Independent,1013,1013,0
St Luke's Grammar School,Dee Why,Independent,1148,569,579
Wahroonga Adventist School,Wahroonga,Independent,516,244,272
Mosman Church of England Preparatory School,Mosman,Independent,301,0,301
Northern Beaches Christian School,Terrey Hills,Independent,1228,532,696
Coogee Boys' Preparatory School,Randwick,Independent,125,0,125
Oxford Falls Grammar School,Oxford Falls,Independent,1126,553,573
Pittwater House Schools,Collaroy,Independent,848,383,465
Anzac Park Public School,Cammeray,Government,619,319,300
Lindfield Learning Village,Lindfield,Government,315,147,168
