ACARA_ID,School_Name,Suburb,Postcode,Type,Geolocation,Latitude,Longitude,BE_Score,School_Sector,Campus_Type,Governing_Body,Year_Range,ICSEA,Bottom_SEA_Quarter_(%),Lower_Middle_SEA_Quarter_(%),Upper_Middle_SEA_Quarter_(%),Top_SEA_Quarter_(%),Teaching_Staff,Full_Time_Equivalent_Teaching_Staff,Non-Teaching_Staff,Full_Time_Equivalent_Non-Teaching_Staff,Total_Enrolments,Girls_Enrolments,Boys_Enrolments,Full_Time_Equivalent_Enrolments,Indigenous_Enrolments_(%),Language_Background_Other_Than_English
40987,Abbotsford Public School,Abbotsford,2046,Primary,Major Cities,-33.8527,151.131,93,Government,School Single Entity,Department of Education NSW,K-6,1108,6,15,30,49,29,31,7,4.3,567,286,281,567,1,45
40366,Kinma School,Terrey Hills,2084,Primary,Major Cities,-33.6866,151.217,,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-6,1135,1,8,28,62,10,8.3,5,2.9,90,45,45,90,0,2
40367,Knox Grammar School,Wahroonga,2076,Combined,Major Cities,-33.7231,151.119,100,Independent,School Head Campus,Association of Independent Schools of New South Wales,K-12,1170,1,4,17,78,303,285.3,366,219.6,3030,77,2953,3030,0,30
40369,Moriah College,Bondi Junction,2022,Combined,Major Cities,-33.8994,151.245,97,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1135,3,8,26,63,174,161.9,101,66.4,1449,706,743,1449,0,7
40381,Highfields Preparatory and Kindergarten School,Lindfield,2070,Primary,Major Cities,-33.775,151.164,,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-2,1166,1,3,17,80,13,10.4,5,4.1,87,45,42,87,0,51
40408,Tangara School for Girls,Cherrybrook,2126,Combined,Major Cities,-33.7364,151.036,99,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1135,3,12,25,60,69,53.8,21,11.4,616,560,56,616,0,32
41184,Alexandria Park Community School,Alexandria,2015,Combined,Major Cities,-33.9002,151.196,90,Government,School Single Entity,Department of Education NSW,K-12,1028,20,18,29,33,56,66.2,13,12.3,882,375,507,881.4,19,59
43404,All Hallows Catholic Primary School,Five Dock,2046,Primary,Major Cities,-33.8609,151.134,93,Catholic,School Single Entity,Catholic Schools NSW,K-6,1106,4,17,33,46,32,24.7,11,3.6,457,261,196,457,0,42
40492,Australia Street Infants School,Newtown,2042,Primary,Major Cities,-33.8958,151.178,,Government,School Single Entity,Department of Education NSW,P-2,1124,2,7,30,61,7,9.5,5,3.8,99,45,54,99,1,19
40493,Russell Lea Public School,Russell Lea,2046,Primary,Major Cities,-33.8614,151.143,,Government,School Single Entity,Department of Education NSW,K-6,1140,2,8,29,61,13,14.4,1,2.5,258,143,115,258,0,31
41281,Allambie Heights Public School,Allambie Heights,2100,Primary,Major Cities,-33.7658,151.252,95,Government,School Single Entity,Department of Education NSW,K-6,1121,2,13,31,54,23,28.8,5,4.1,555,247,308,555,1,16
40494,Taverners Hill Infants School,Petersham,2049,Primary,Major Cities,-33.889,151.157,,Government,School Single Entity,Department of Education NSW,K-2,1115,2,11,32,55,4,4,2,1.5,61,22,39,61,3,25
40989,Annandale North Public School,Annandale,2038,Primary,Major Cities,-33.8779,151.172,95,Government,School Single Entity,Department of Education NSW,K-6,1148,2,6,22,70,17,20.5,4,3.1,402,206,196,402,3,22
40988,Annandale Public School,Annandale,2038,Primary,Major Cities,-33.8858,151.17,86,Government,School Single Entity,Department of Education NSW,P-6,1115,5,10,28,57,25,28.5,8,6.4,402,180,222,402,2,32
41195,Artarmon Public School,Artarmon,2064,Primary,Major Cities,-33.8112,151.186,100,Government,School Single Entity,Department of Education NSW,K-6,1177,1,5,17,77,58,64.4,7,7.1,1248,583,665,1248,0,83
41196,Asquith Public School,Asquith,2077,Primary,Major Cities,-33.6857,151.112,92,Government,School Single Entity,Department of Education NSW,"U, K-6",1095,7,16,33,44,21,26.6,8,6.2,452,219,233,452,2,48
41251,Avalon Public School,Avalon Beach,2107,Primary,Major Cities,-33.6396,151.327,92,Government,School Single Entity,Department of Education NSW,K-6,1096,5,18,37,40,37,46.1,8,5.9,914,461,453,914,0,11
40697,Barrenjoey Montessori School,Avalon,2107,Primary,Major Cities,-33.6312,151.334,,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-6,1162,0,2,27,71,6,5.2,8,5,59,26,33,59,0,24
41248,Balgowlah Heights Public School,Balgowlah,2093,Primary,Major Cities,-33.8057,151.258,97,Government,School Single Entity,Department of Education NSW,K-6,1177,0,3,18,78,32,35.8,5,4.7,711,363,348,711,0,17
41269,Balgowlah North Public School,North Balgowlah,2093,Primary,Major Cities,-33.7833,151.246,95,Government,School Single Entity,Department of Education NSW,K-6,1143,1,8,25,66,25,28.9,6,4.1,568,265,303,568,1,11
41130,Balmain Public School,Balmain,2041,Primary,Major Cities,-33.8592,151.183,99,Government,School Single Entity,Department of Education NSW,K-6,1169,1,5,18,75,18,19.4,4,2.9,379,189,190,379,1,34
40992,Banksmeadow Public School,Botany,2019,Primary,Major Cities,-33.9537,151.207,83,Government,School Single Entity,Department of Education NSW,"U, P-6",1024,20,35,31,15,18,22.7,9,8,312,140,172,312,5,31
41268,Beacon Hill Public School,Beacon Hill,2100,Primary,Major Cities,-33.7516,151.261,92,Government,School Single Entity,Department of Education NSW,K-6,1088,7,20,35,38,25,27.8,5,4,533,255,278,533,1,22
41266,Beaumont Road Public School,Killara,2071,Primary,Major Cities,-33.7743,151.146,100,Government,School Single Entity,Department of Education NSW,K-6,1191,1,3,13,83,17,20.5,3,3.3,408,199,209,408,0,47
41307,Beauty Point Public School,Mosman,2088,Primary,Major Cities,-33.812,151.242,98,Government,School Single Entity,Department of Education NSW,K-6,1168,0,6,21,73,15,17,1,2.8,304,156,148,304,0,31
40832,Lindfield Montessori Preschool,West Lindfield,2070,Combined,Major Cities,-33.7778,151.148,,Independent,School Single Entity,Association of Independent Schools of New South Wales,K,,,,,,3,2.9,1,0.3,3,1,2,3,0,
41198,Beecroft Public School,Beecroft,2119,Primary,Major Cities,-33.7521,151.065,100,Government,School Single Entity,Department of Education NSW,K-6,1182,1,3,16,80,43,46.5,6,5.2,890,469,421,890,0,64
40844,Cameragal Montessori School,North Sydney,2060,Primary,Major Cities,-33.8334,151.216,,Independent,School Head Campus,Association of Independent Schools of New South Wales,K,1179,0,3,9,89,5,3.6,13,6.3,19,8,11,19,0,33
40845,Karuna Montessori School,Narraweena,2099,Combined,Major Cities,-33.7478,151.276,,Independent,School Single Entity,Montessori Australia,K,,,,,,3,2,1,1,8,3,5,8,0,
40850,Farmhouse Montessori School,North Balgowlah,2093,Combined,Major Cities,-33.7834,151.246,,Independent,School Head Campus,Association of Independent Schools of New South Wales,K-5,1180,0,1,14,85,7,5.4,5,4.5,44,18,26,44,0,34
40921,Reddam House,Woollahra,2025,Combined,Major Cities,-33.8893,151.253,99,Independent,School Head Campus,Association of Independent Schools of New South Wales,K-12,1189,0,2,13,84,142,104.9,62,24.8,1223,555,668,1223,0,88
40993,Bellevue Hill Public School,Bellevue Hill,2023,Primary,Major Cities,-33.887,151.26,98,Government,School Single Entity,Department of Education NSW,K-6,1155,2,7,21,70,32,34.1,7,4.1,566,284,282,566,1,53
41249,Belrose Public School,Belrose,2085,Primary,Major Cities,-33.7272,151.217,89,Government,School Single Entity,Department of Education NSW,K-6,1104,4,17,33,46,13,14.6,3,2.5,267,133,134,267,0,17
40995,Birchgrove Public School,Balmain,2041,Primary,Major Cities,-33.853,151.177,90,Government,School Single Entity,Department of Education NSW,P-6,1137,2,8,27,63,21,23.1,7,5.1,371,191,180,371,0,24
40997,Bondi Beach Public School,Bondi Beach,2026,Primary,Major Cities,-33.8883,151.277,91,Government,School Single Entity,Department of Education NSW,K-6,1124,3,11,30,56,29,31.4,3,4.1,618,276,342,618,1,28
40998,Botany Public School,Botany,2019,Primary,Major Cities,-33.9432,151.195,89,Government,School Single Entity,Department of Education NSW,K-6,1060,14,26,31,28,13,16,5,2.5,289,137,152,289,3,45
41000,Bronte Public School,Bronte,2024,Primary,Major Cities,-33.9006,151.262,96,Government,School Single Entity,Department of Education NSW,K-6,1162,1,5,22,72,20,20.8,5,2.9,388,182,206,388,0,19
41001,Camdenville Public School,Newtown,2042,Primary,Major Cities,-33.9061,151.176,92,Government,School Single Entity,Department of Education NSW,P-6,1118,7,10,25,58,18,20.5,6,5.5,344,166,178,344,3,23
41007,Clovelly Public School,Waverley,2024,Primary,Major Cities,-33.9074,151.26,94,Government,School Single Entity,Department of Education NSW,K-6,1151,1,7,23,70,30,32.3,5,4.1,599,313,286,599,1,20
41199,Berowra Public School,Berowra,2081,Primary,Major Cities,-33.6185,151.149,91,Government,School Single Entity,Department of Education NSW,K-6,1098,6,17,34,43,19,21.9,4,3.1,419,186,233,419,0,14
41010,Coogee Public School,Coogee,2034,Primary,Major Cities,-33.9205,151.25,90,Government,School Single Entity,Department of Education NSW,K-6,1131,2,10,27,60,30,32.5,7,4.1,615,308,307,615,1,33
41012,Darlington Public School,Chippendale,2008,Primary,Major Cities,-33.8926,151.189,80,Government,School Single Entity,Department of Education NSW,P-6,1023,18,19,28,35,17,17.9,6,5.6,206,98,108,206,24,33
41013,Double Bay Public School,Double Bay,2028,Primary,Major Cities,-33.8749,151.241,97,Government,School Single Entity,Department of Education NSW,K-6,1148,2,8,24,66,16,18.3,4,2.8,341,189,152,341,0,31
41014,Drummoyne Public School,Drummoyne,2047,Primary,Major Cities,-33.8561,151.153,94,Government,School Single Entity,Department of Education NSW,K-6,1134,2,11,28,59,34,34.7,4,4.1,620,326,294,620,0,42
41017,Five Dock Public School,Five Dock,2046,Primary,Major Cities,-33.8663,151.127,92,Government,School Single Entity,Department of Education NSW,"U, P-6",1079,12,19,32,37,26,26.2,9,7.1,392,196,196,392,3,44
41018,Forest Lodge Public School,Forest Lodge,2037,Primary,Major Cities,-33.8822,151.182,96,Government,School Single Entity,Department of Education NSW,K-6,1152,3,5,22,70,17,20.1,4,2.8,340,160,180,340,1,40
41019,Fort Street Public School,Sydney,2000,Primary,Major Cities,-33.8604,151.205,95,Government,School Single Entity,Department of Education NSW,K-6,1118,4,11,33,53,11,13.2,4,2.4,215,97,118,215,0,77
41020,Glenmore Road Public School,Paddington,2021,Primary,Major Cities,-33.8814,151.23,97,Government,School Single Entity,Department of Education NSW,K-6,1177,1,3,17,79,16,19.3,4,2.8,364,192,172,364,1,21
41022,Haberfield Public School,Haberfield,2045,Primary,Major Cities,-33.8795,151.134,98,Government,School Single Entity,Department of Education NSW,K-6,1133,3,10,29,58,34,39.4,5,4.3,670,338,332,670,0,63
41026,Kegworth Public School,Leichhardt,2040,Primary,Major Cities,-33.8865,151.147,96,Government,School Single Entity,Department of Education NSW,P-6,1113,6,12,27,55,18,20.3,6,4.1,343,166,177,343,5,30
41292,Bilgola Plateau Public School,Bilgola Plateau,2107,Primary,Major Cities,-33.644,151.313,94,Government,School Single Entity,Department of Education NSW,K-6,1109,3,15,34,48,26,27.5,2,4,532,274,258,532,1,13
41027,Kensington Public School,Kensington,2033,Primary,Major Cities,-33.9099,151.225,96,Government,School Single Entity,Department of Education NSW,K-6,1120,5,12,27,56,23,26.1,4,3.1,453,225,228,453,1,72
41032,La Perouse Public School,La Perouse,2036,Primary,Major Cities,-33.9795,151.235,,Government,School Single Entity,Department of Education NSW,K-6,853,52,19,22,8,6,8.4,1,2.4,54,22,32,54,65,72
41033,Malabar Public School,Malabar,2036,Primary,Major Cities,-33.9622,151.249,89,Government,School Single Entity,Department of Education NSW,K-6,1077,10,19,33,38,13,16.1,3,2.8,298,152,146,298,5,26
41034,Maroubra Bay Public School,Maroubra,2035,Primary,Major Cities,-33.9442,151.253,87,Government,School Single Entity,Department of Education NSW,K-6,1075,11,19,31,39,19,21.5,3,2.9,371,171,200,371,6,41
41035,Mascot Public School,Mascot,2020,Primary,Major Cities,-33.9286,151.192,80,Government,School Single Entity,Department of Education NSW,P-6,1028,22,27,31,20,22,24.5,7,5.2,367,170,197,367,4,73
41036,Matraville Public School,Matraville,2036,Primary,Major Cities,-33.9551,151.229,85,Government,School Single Entity,Department of Education NSW,K-6,1012,32,24,28,16,13,14.4,4,2.4,229,100,129,229,2,80
41040,Newtown North Public School,Newtown,2042,Primary,Major Cities,-33.8918,151.185,95,Government,School Single Entity,Department of Education NSW,K-6,1142,1,9,25,65,11,13.7,3,2.5,258,126,132,258,1,29
41041,Nicholson Street Public School,Balmain East,2041,Primary,Major Cities,-33.8561,151.193,89,Government,School Single Entity,Department of Education NSW,K-6,1136,2,8,29,61,7,9.7,3,2,168,79,89,168,0,17
41043,Orange Grove Public School,Leichhardt,2040,Primary,Major Cities,-33.8724,151.158,94,Government,School Single Entity,Department of Education NSW,P-6,1130,4,9,26,61,24,28.5,6,5,496,243,253,496,4,22
41046,Rainbow Street Public School,Randwick,2031,Primary,Major Cities,-33.9246,151.237,98,Government,School Single Entity,Department of Education NSW,"U, K-6",1124,4,12,27,57,25,26.3,7,7.2,390,180,210,390,2,56
41048,Rose Bay Public School,Rose Bay,2029,Primary,Major Cities,-33.873,151.271,95,Government,School Single Entity,Department of Education NSW,K-6,1141,1,8,26,64,33,33.8,4,4.1,587,300,287,587,0,58
41049,St Peters Public School,St Peters,2044,Primary,Major Cities,-33.913,151.177,97,Government,School Single Entity,Department of Education NSW,K-6,1107,7,11,27,54,8,9,2,1.7,124,57,67,124,8,33
41055,Ultimo Public School,Ultimo,2007,Primary,Major Cities,-33.8768,151.197,92,Government,School Single Entity,Department of Education NSW,K-6,1075,12,18,29,41,16,19.9,5,2.8,314,164,150,314,5,69
41057,Vaucluse Public School,Vaucluse,2030,Primary,Major Cities,-33.8505,151.281,92,Government,School Single Entity,Department of Education NSW,"U, K-6",1134,2,9,27,62,20,22.2,4,5.9,363,172,191,363,0,37
41062,South Coogee Public School,South Coogee,2034,Primary,Major Cities,-33.9333,151.254,89,Government,School Single Entity,Department of Education NSW,K-6,1096,8,15,29,48,25,30.9,6,4.1,548,290,258,548,4,35
41071,Dobroyd Point Public School,Haberfield,2045,Primary,Major Cities,-33.8744,151.141,95,Government,School Single Entity,Department of Education NSW,K-6,1151,2,11,21,67,14,13.3,3,2.4,227,110,117,227,1,32
41074,Pagewood Public School,Botany,2019,Primary,Major Cities,-33.9422,151.214,97,Government,School Single Entity,Department of Education NSW,K-6,1099,7,17,33,42,14,16.9,4,2.8,313,154,159,313,1,49
41076,Crown Street Public School,Surry Hills,2010,Primary,Major Cities,-33.8823,151.215,93,Government,School Single Entity,Department of Education NSW,K-6,1108,6,15,30,49,17,18.2,1,2.5,292,146,146,292,2,54
41077,Tempe Public School,Tempe,2044,Primary,Major Cities,-33.9209,151.161,87,Government,School Single Entity,Department of Education NSW,K-6,1086,9,15,33,43,24,24.5,5,2.8,322,166,156,322,5,38
41132,Bondi Public School,Bondi,2026,Primary,Major Cities,-33.8926,151.265,97,Government,School Single Entity,Department of Education NSW,K-6,1147,2,10,23,65,26,31.3,5,4.1,596,294,302,596,0,26
41080,Waverley Public School,Waverley,2024,Primary,Major Cities,-33.8982,151.252,96,Government,School Single Entity,Department of Education NSW,K-6,1136,3,10,26,61,15,19.8,5,2.8,330,158,172,330,1,35
41087,Matraville Soldiers Settlement Public School,Matraville,2036,Primary,Major Cities,-33.958,151.24,74,Government,School Single Entity,Department of Education NSW,P-6,950,41,25,21,12,11,15.1,5,4.6,242,128,114,242,24,38
41093,Erskineville Public School,Erskineville,2043,Primary,Major Cities,-33.9009,151.186,93,Government,School Single Entity,Department of Education NSW,K-6,1137,2,9,27,62,17,21.7,4,2.9,401,200,201,401,1,49
41200,Boronia Park Public School,Hunters Hill,2110,Primary,Major Cities,-33.8214,151.136,95,Government,School Single Entity,Department of Education NSW,K-6,1141,2,8,29,62,26,27.7,5,4,541,275,266,541,1,28
41096,Randwick Public School,Randwick,2031,Primary,Major Cities,-33.9106,151.242,99,Government,School Single Entity,Department of Education NSW,K-6,1159,1,7,22,70,46,48.9,8,5.9,958,484,474,958,1,41
41133,Bourke Street Public School,Surry Hills,2010,Primary,Major Cities,-33.8905,151.216,95,Government,School Single Entity,Department of Education NSW,K-6,1124,5,9,28,58,20,25.2,6,3.1,436,209,227,436,3,33
41100,Chifley Public School,Malabar,2036,Primary,Major Cities,-33.966,151.242,73,Government,School Single Entity,Department of Education NSW,K-6,932,37,26,25,12,11,11.3,5,2,166,86,80,166,40,19
41102,Lewisham Public School,Lewisham,2049,Primary,Major Cities,-33.8977,151.146,86,Government,School Single Entity,Department of Education NSW,K-6,1098,10,13,27,49,11,12.6,4,2.4,217,125,92,217,1,39
41107,Petersham Public School,Petersham,2049,Primary,Major Cities,-33.8956,151.15,98,Government,School Single Entity,Department of Education NSW,K-6,1150,2,10,23,65,14,15.8,3,2.5,267,117,150,267,1,30
41109,Eastlakes Public School,Eastlakes,2018,Primary,Major Cities,-33.9281,151.214,78,Government,School Single Entity,Department of Education NSW,"U, K-6",1034,21,26,33,21,15,13.6,3,3,197,96,101,197,3,93
41112,Plunkett Street Public School,Woolloomooloo,2011,Primary,Major Cities,-33.8709,151.22,,Government,School Single Entity,Department of Education NSW,P-6,952,35,31,21,13,2,5.1,3,3.2,60,28,32,60,32,53
41114,Sydney Distance Education Primary School,Surry Hills,2010,Primary,Major Cities,-33.8863,151.213,100,Government,School Single Entity,Department of Education NSW,K-6,1128,4,13,26,57,12,16.4,6,4.9,177,80,97,177,2,27
41201,Brooklyn Public School,Brooklyn,2083,Primary,Inner Regional,-33.5484,151.215,90,Government,School Single Entity,Department of Education NSW,K-6,1083,10,26,27,36,4,4.9,3,1.5,75,35,40,75,0,28
41202,Brookvale Public School,Brookvale,2100,Primary,Major Cities,-33.7617,151.271,87,Government,School Single Entity,Department of Education NSW,K-6,1052,15,28,30,26,16,19.4,3,2.9,341,176,165,341,1,47
41136,Daceyville Public School,Daceyville,2032,Primary,Major Cities,-33.9295,151.228,80,Government,School Single Entity,Department of Education NSW,K-6,1032,22,20,30,28,18,20.7,5,2.6,269,140,129,269,8,62
41137,Darlinghurst Public School,Potts Point,2011,Primary,Major Cities,-33.8786,151.223,94,Government,School Single Entity,Department of Education NSW,K-6,1154,1,6,26,67,16,17.6,2,2.8,322,167,155,322,1,38
41138,Gardeners Road Public School,Rosebery,2018,Primary,Major Cities,-33.9206,151.198,86,Government,School Single Entity,Department of Education NSW,"U, K-6",1038,19,25,34,23,21,25.3,9,7.8,358,184,174,358,4,75
41139,Glebe Public School,Glebe,2037,Primary,Major Cities,-33.8837,151.191,79,Government,School Single Entity,Department of Education NSW,K-6,1017,26,18,23,32,16,17.5,6,3.8,309,150,159,309,17,44
41140,Leichhardt Public School,Leichhardt,2040,Primary,Major Cities,-33.8843,151.158,93,Government,School Single Entity,Department of Education NSW,"U, K-6",1127,4,10,25,61,36,42.2,7,7.7,736,371,365,736,3,30
41141,Maroubra Junction Public School,Maroubra,2035,Primary,Major Cities,-33.9361,151.237,92,Government,School Single Entity,Department of Education NSW,K-6,1113,5,14,31,51,34,34.2,5,4.1,619,295,324,619,0,58
41142,Newtown Public School,Newtown,2042,Primary,Major Cities,-33.9,151.179,91,Government,School Single Entity,Department of Education NSW,K-6,1133,3,10,25,62,17,21,3,3.1,417,205,212,417,2,23
41143,Paddington Public School,Paddington,2021,Primary,Major Cities,-33.8876,151.23,92,Government,School Single Entity,Department of Education NSW,K-6,1138,2,8,27,64,14,16.6,3,2.5,291,146,145,291,1,39
41144,Rozelle Public School,Rozelle,2039,Primary,Major Cities,-33.8626,151.17,93,Government,School Single Entity,Department of Education NSW,P-6,1153,1,6,23,70,31,35.8,5,5.3,632,307,325,632,1,19
41145,Stanmore Public School,Stanmore,2048,Primary,Major Cities,-33.8955,151.165,90,Government,School Single Entity,Department of Education NSW,K-6,1117,4,13,29,54,33,33.7,5,4.1,636,313,323,636,1,28
41146,Woollahra Public School,Woollahra,2025,Primary,Major Cities,-33.8864,151.241,100,Government,School Single Entity,Department of Education NSW,K-6,1177,1,4,18,77,36,40.4,5,4.7,767,363,404,767,0,44
41203,Cammeray Public School,Cammeray,2062,Primary,Major Cities,-33.8204,151.212,100,Government,School Single Entity,Department of Education NSW,K-6,1183,1,4,16,79,44,45.3,7,5.2,888,454,434,888,1,27
41802,Carlingford Public School,Carlingford,2118,Primary,Major Cities,-33.7801,151.055,97,Government,School Single Entity,Department of Education NSW,K-6,1111,5,12,31,52,40,43.6,4,4.7,784,383,401,784,1,87
41730,Carlingford West Public School,Carlingford,2118,Primary,Major Cities,-33.7821,151.038,100,Government,School Single Entity,Department of Education NSW,K-6,1136,3,8,27,62,71,84.1,6,7.7,1528,730,798,1528,0,95
41197,Seaforth Public School,Seaforth,2092,Primary,Major Cities,-33.7933,151.251,92,Government,School Single Entity,Department of Education NSW,K-6,1148,2,6,24,69,26,26.5,5,4.4,520,248,272,520,1,18
41205,Cowan Public School,Cowan,2081,Primary,Inner Regional,-33.5888,151.169,74,Government,School Single Entity,Department of Education NSW,K-6,1027,18,27,40,14,3,2.6,2,1.1,43,18,25,43,5,23
41206,Dee Why Public School,Dee Why,2099,Primary,Major Cities,-33.749,151.285,83,Government,School Single Entity,Department of Education NSW,"U, K-6",1014,29,28,26,17,28,32.8,7,5.5,490,221,269,490,1,65
41208,Epping Public School,Epping,2121,Primary,Major Cities,-33.7707,151.088,100,Government,School Single Entity,Department of Education NSW,K-6,1155,1,6,23,69,27,39.5,2,4.1,631,319,312,631,0,93
41209,Epping West Public School,Epping,2121,Primary,Major Cities,-33.7728,151.068,100,Government,School Single Entity,Department of Education NSW,"U, K-6",1150,1,7,25,67,67,71,10,10.1,1290,621,669,1290,0,93
41262,Castle Cove Public School,Castle Cove,2069,Primary,Major Cities,-33.7834,151.202,97,Government,School Single Entity,Department of Education NSW,K-6,1165,0,5,21,74,24,24,4,3.6,442,218,224,442,1,35
41210,Ermington Public School,West Ryde,2114,Primary,Major Cities,-33.8048,151.07,99,Government,School Single Entity,Department of Education NSW,K-6,1117,6,13,29,52,21,21.7,4,3.4,402,181,221,402,1,66
41211,Frenchs Forest Public School,Frenchs Forest,2086,Primary,Major Cities,-33.7515,151.225,97,Government,School Single Entity,Department of Education NSW,K-6,1125,5,13,28,54,12,13.4,3,2.7,261,133,128,261,0,25
